Username,food_ordered
usha,orange juice
rojan,veg momo
susan,chicken momo
usha,chicken chilly momo
rojina,veg momo
anurag,guava juice
usha,mango juice
anil,chicken chilly momo
ayushma,red bull
anurag,pepperoni pizza
aastha,red bull
susan,coke
usha,mango juice
rojan,coke
ayush,double cheese margherita pizza
rojina,double cheese margherita pizza
rojina,pepperoni pizza
anil,chicken fried momo
aastha,red bull
rojina,pepsi
aastha,double cheese margherita pizza
usha,chicken momo
ayushma,chicken momo
aastha,chicken momo
sunil,pepperoni pizza
aastha,chicken fried momo
ayushma,sprite
usha,sprite
susan,pepsi
anurag,red bull
ayush,pepperoni pizza
anil,pepperoni pizza
ayush,Classic margherita pizza
susan,double cheese margherita pizza
anurag,coke
anurag,sprite
ayushma,veg momo
ayushma,chicken chilly momo
anil,pepperoni pizza
sunil,double cheese margherita pizza
anurag,Classic margherita pizza
rojan,pepsi
anurag,Classic margherita pizza
ayush,orange juice
susan,mango juice
rojan,coke
sunil,chicken fried momo
rojan,chicken chilly momo
susan,sprite
rojan,water
ayush,mango juice
ayushma,pepsi
ayush,sprite
susan,Classic margherita pizza
ayushma,chicken chilly momo
ayush,veg momo
ayush,chicken fried momo
ayush,chicken fried momo
susan,chicken momo
usha,sprite
anurag,coke
ayushma,chicken momo
anil,veg momo
susan,pepsi
aastha,pepperoni pizza
aastha,chicken fried momo
usha,water
susan,sprite
rojina,veg momo
rojan,orange juice
anurag,mango juice
anurag,red bull
susan,veg momo
susan,coke
sunil,double cheese margherita pizza
susan,orange juice
susan,chicken momo
sunil,pepsi
anil,veg momo
rojina,chicken momo
rojan,chicken momo
aastha,sprite
aastha,pepperoni pizza
usha,chicken momo
aastha,veg momo
rojina,red bull
rojina,orange juice
ayush,guava juice
anil,Classic margherita pizza
sunil,guava juice
sunil,mango juice
anil,water
ayushma,pepperoni pizza
ayushma,pepperoni pizza
usha,mango juice
ayush,pepsi
anurag,water
ayush,red bull
susan,coke
rojina,red bull
ayush,sprite
susan,chicken momo
sunil,coke
sunil,veg momo
ayushma,chicken momo
usha,chicken fried momo
usha,coke
anil,pepperoni pizza
susan,double cheese margherita pizza
sunil,chicken chilly momo
anurag,orange juice
usha,pepperoni pizza
susan,mango juice
usha,sprite
susan,double cheese margherita pizza
anil,red bull
ayush,chicken momo
anil,chicken momo
sunil,veg momo
rojan,veg momo
ayush,chicken chilly momo
rojina,pepsi
anil,chicken fried momo
aastha,Classic margherita pizza
anurag,veg momo
aastha,sprite
ayush,coke
susan,guava juice
rojina,Classic margherita pizza
ayushma,sprite
aastha,orange juice
anurag,veg momo
ayush,pepperoni pizza
rojina,guava juice
sunil,chicken fried momo
rojan,water
ayush,pepperoni pizza
rojina,mango juice
susan,red bull
sunil,chicken fried momo
rojan,double cheese margherita pizza
ayushma,pepsi
ayushma,coke
rojan,chicken chilly momo
usha,orange juice
rojina,pepsi
sunil,coke
anurag,chicken fried momo
ayushma,guava juice
ayushma,sprite
usha,mango juice
aastha,guava juice
aastha,guava juice
rojina,pepperoni pizza
ayush,pepsi
usha,double cheese margherita pizza
usha,chicken momo
rojan,pepperoni pizza
ayush,red bull
anurag,chicken momo
susan,guava juice
anil,mango juice
rojan,veg momo
susan,water
rojan,chicken fried momo
anil,coke
ayush,chicken chilly momo
susan,guava juice
ayushma,chicken fried momo
susan,mango juice
susan,red bull
rojina,chicken momo
sunil,water
usha,Classic margherita pizza
usha,pepsi
susan,pepsi
anil,chicken fried momo
susan,Classic margherita pizza
ayushma,water
aastha,veg momo
rojan,double cheese margherita pizza
rojan,veg momo
ayush,mango juice
rojina,guava juice
anurag,coke
usha,water
anil,guava juice
ayush,chicken momo
susan,orange juice
ayush,pepsi
ayushma,sprite
aastha,Classic margherita pizza
ayushma,coke
anurag,pepperoni pizza
ayushma,pepperoni pizza
susan,sprite
anil,orange juice
ayush,chicken chilly momo
aastha,chicken chilly momo
anil,mango juice
susan,coke
susan,Classic margherita pizza
anurag,chicken chilly momo
anurag,mango juice
anil,orange juice
rojan,water
anil,pepperoni pizza
susan,veg momo
rojina,sprite
ayushma,chicken momo
anurag,chicken fried momo
rojan,pepsi
anil,coke
rojan,chicken fried momo
aastha,veg momo
anurag,red bull
ayush,orange juice
ayushma,red bull
sunil,double cheese margherita pizza
aastha,veg momo
rojina,orange juice
rojan,chicken momo
anil,chicken momo
ayushma,sprite
ayush,pepsi
rojan,chicken momo
sunil,red bull
sunil,pepsi
sunil,guava juice
aastha,double cheese margherita pizza
ayushma,mango juice
rojina,double cheese margherita pizza
sunil,chicken chilly momo
ayushma,mango juice
rojan,double cheese margherita pizza
susan,chicken fried momo
rojan,double cheese margherita pizza
ayushma,chicken momo
ayush,veg momo
ayush,double cheese margherita pizza
anil,red bull
sunil,mango juice
rojina,pepperoni pizza
anurag,orange juice
aastha,pepperoni pizza
rojina,double cheese margherita pizza
ayush,coke
rojina,pepsi
aastha,mango juice
ayushma,red bull
susan,pepsi
sunil,guava juice
rojina,sprite
ayushma,orange juice
susan,Classic margherita pizza
usha,pepperoni pizza
aastha,chicken fried momo
ayush,chicken chilly momo
ayushma,orange juice
ayush,pepsi
ayush,pepperoni pizza
ayush,pepperoni pizza
anurag,chicken momo
rojan,chicken fried momo
rojan,chicken momo
sunil,water
sunil,red bull
anurag,orange juice
anil,chicken momo
usha,coke
anurag,water
ayush,sprite
ayushma,coke
aastha,coke
anil,sprite
aastha,sprite
ayush,pepperoni pizza
ayushma,water
sunil,sprite
ayushma,chicken fried momo
ayush,orange juice
susan,Classic margherita pizza
rojina,chicken fried momo
anurag,chicken momo
ayushma,chicken momo
aastha,guava juice
ayush,sprite
ayush,chicken chilly momo
sunil,water
anurag,coke
anil,pepperoni pizza
anurag,chicken momo
rojan,red bull
usha,coke
sunil,coke
rojina,orange juice
ayushma,pepperoni pizza
rojina,water
aastha,mango juice
ayush,orange juice
rojina,orange juice
rojina,double cheese margherita pizza
rojan,chicken chilly momo
usha,guava juice
ayush,Classic margherita pizza
susan,orange juice
anurag,pepsi
sunil,red bull
usha,chicken chilly momo
ayushma,chicken chilly momo
anil,Classic margherita pizza
sunil,pepsi
usha,sprite
anil,orange juice
susan,orange juice
rojina,chicken momo
usha,red bull
aastha,chicken fried momo
rojina,double cheese margherita pizza
sunil,pepperoni pizza
anurag,chicken chilly momo
usha,double cheese margherita pizza
susan,guava juice
aastha,double cheese margherita pizza
anil,chicken fried momo
ayushma,chicken fried momo
susan,coke
rojan,chicken chilly momo
anurag,double cheese margherita pizza
aastha,double cheese margherita pizza
sunil,coke
rojina,chicken chilly momo
ayushma,sprite
ayush,water
ayush,chicken chilly momo
anil,mango juice
anil,orange juice
susan,pepsi
ayush,mango juice
aastha,Classic margherita pizza
rojan,pepperoni pizza
ayushma,red bull
sunil,chicken momo
anurag,sprite
ayush,red bull
rojina,chicken momo
ayushma,double cheese margherita pizza
rojan,pepperoni pizza
ayushma,guava juice
rojan,guava juice
sunil,sprite
usha,double cheese margherita pizza
ayushma,chicken momo
anurag,Classic margherita pizza
anil,chicken fried momo
sunil,red bull
ayushma,mango juice
ayush,guava juice
ayushma,water
usha,chicken chilly momo
anurag,mango juice
aastha,chicken chilly momo
rojan,chicken chilly momo
usha,Classic margherita pizza
susan,sprite
rojina,guava juice
ayush,chicken chilly momo
ayushma,chicken fried momo
sunil,sprite
susan,guava juice
usha,veg momo
ayushma,chicken momo
anurag,veg momo
ayushma,guava juice
sunil,chicken momo
sunil,coke
sunil,Classic margherita pizza
susan,orange juice
sunil,chicken momo
susan,veg momo
rojina,red bull
aastha,water
aastha,mango juice
anil,chicken fried momo
aastha,veg momo
susan,chicken chilly momo
rojan,sprite
aastha,pepperoni pizza
ayush,coke
anil,water
aastha,chicken momo
anil,sprite
sunil,double cheese margherita pizza
susan,guava juice
ayush,veg momo
anil,orange juice
susan,orange juice
ayushma,chicken chilly momo
rojan,pepsi
ayush,sprite
aastha,chicken momo
usha,chicken chilly momo
usha,Classic margherita pizza
rojina,mango juice
anil,double cheese margherita pizza
rojina,chicken momo
anil,chicken chilly momo
sunil,sprite
ayushma,orange juice
aastha,guava juice
sunil,pepsi
sunil,pepsi
aastha,chicken fried momo
ayushma,chicken fried momo
susan,Classic margherita pizza
ayush,coke
usha,veg momo
sunil,pepsi
sunil,veg momo
ayush,red bull
anil,water
susan,coke
ayush,coke
ayush,red bull
sunil,chicken fried momo
anurag,coke
susan,coke
usha,sprite
sunil,chicken fried momo
ayush,veg momo
anurag,sprite
ayush,pepperoni pizza
anil,pepperoni pizza
anurag,water
sunil,orange juice
anurag,coke
rojina,Classic margherita pizza
usha,chicken fried momo
sunil,orange juice
ayush,Classic margherita pizza
susan,pepsi
ayush,chicken fried momo
anurag,veg momo
anurag,red bull
sunil,pepperoni pizza
aastha,water
rojina,Classic margherita pizza
ayush,double cheese margherita pizza
anil,Classic margherita pizza
anil,water
susan,Classic margherita pizza
susan,Classic margherita pizza
ayush,pepsi
rojan,chicken chilly momo
susan,pepperoni pizza
ayush,chicken fried momo
susan,mango juice
sunil,double cheese margherita pizza
rojina,chicken momo
usha,red bull
aastha,coke
rojan,chicken fried momo
anurag,Classic margherita pizza
anil,chicken momo
sunil,orange juice
susan,double cheese margherita pizza
ayush,veg momo
usha,orange juice
susan,pepperoni pizza
susan,pepperoni pizza
usha,chicken chilly momo
rojina,mango juice
anil,red bull
rojan,sprite
usha,orange juice
usha,mango juice
ayushma,orange juice
anil,guava juice
rojina,mango juice
anurag,red bull
rojan,orange juice
sunil,chicken chilly momo
ayush,guava juice
susan,mango juice
sunil,red bull
ayush,veg momo
anurag,Classic margherita pizza
ayushma,Classic margherita pizza
ayushma,pepperoni pizza
aastha,pepperoni pizza
usha,chicken momo
rojina,chicken momo
susan,chicken momo
rojan,red bull
anil,coke
sunil,pepperoni pizza
anurag,chicken momo
ayushma,orange juice
anil,sprite
ayush,veg momo
